,Datetime,Open,High,Low,Close,Volume
0,2021-04-26T09:15:00,1920.05,1930.0,1912.0,1926.85,1061804
1,2021-04-26T09:30:00,1926.85,1936.1,1925.05,1935.05,652372
2,2021-04-26T09:45:00,1935.2,1949.7,1935.05,1949.3,707257
3,2021-04-26T10:00:00,1949.15,1961.25,1949.1,1955.05,915519
4,2021-04-26T10:15:00,1955.1,1958.2,1947.6,1950.95,609119
5,2021-04-26T10:30:00,1950.4,1954.0,1946.0,1946.35,345084
6,2021-04-26T10:45:00,1946.4,1947.5,1936.1,1940.3,482057
7,2021-04-26T11:00:00,1940.3,1947.0,1940.3,1946.7,271830
8,2021-04-26T11:15:00,1946.15,1949.4,1944.0,1944.15,212316
9,2021-04-26T11:30:00,1944.2,1946.3,1940.4,1943.45,182579
10,2021-04-26T11:45:00,1943.85,1947.65,1941.5,1946.85,154313
11,2021-04-26T12:00:00,1946.85,1947.8,1944.2,1944.45,126679
12,2021-04-26T12:15:00,1944.4,1945.85,1941.45,1942.55,173650
13,2021-04-26T12:30:00,1942.55,1949.6,1939.9,1949.5,243257
14,2021-04-26T12:45:00,1949.5,1950.0,1944.35,1945.9,185888
15,2021-04-26T13:00:00,1945.9,1947.5,1944.05,1946.2,115970
16,2021-04-26T13:15:00,1946.2,1946.9,1944.05,1945.3,146035
17,2021-04-26T13:30:00,1945.3,1947.0,1944.0,1945.35,156960
18,2021-04-26T13:45:00,1945.3,1949.5,1942.85,1948.0,180933
19,2021-04-26T14:00:00,1948.0,1951.45,1946.45,1947.25,284644
20,2021-04-26T14:15:00,1947.25,1947.25,1934.3,1938.85,436469
21,2021-04-26T14:30:00,1938.8,1940.65,1936.0,1938.5,248167
22,2021-04-26T14:45:00,1938.2,1942.4,1938.0,1938.05,368945
23,2021-04-26T15:00:00,1939.15,1940.5,1935.65,1937.2,514596
24,2021-04-26T15:15:00,1937.2,1941.0,1932.6,1938.0,809475
25,2021-04-27T09:15:00,1940.0,1975.0,1940.0,1971.45,1350635
26,2021-04-27T09:30:00,1972.95,1979.0,1967.45,1971.8,778658
27,2021-04-27T09:45:00,1971.85,1974.6,1966.5,1974.0,382975
28,2021-04-27T10:00:00,1974.0,1977.7,1972.15,1973.8,308064
29,2021-04-27T10:15:00,1973.8,1974.45,1970.85,1972.0,379624
30,2021-04-27T10:30:00,1972.15,1973.0,1971.0,1971.2,135647
31,2021-04-27T10:45:00,1971.25,1972.5,1969.0,1971.45,124035
32,2021-04-27T11:00:00,1971.45,1973.8,1970.0,1971.0,127368
33,2021-04-27T11:15:00,1971.05,1971.6,1969.2,1970.3,92735
34,2021-04-27T11:30:00,1970.5,1984.5,1970.5,1981.0,729633
35,2021-04-27T11:45:00,1980.8,1989.0,1980.8,1987.8,483517
36,2021-04-27T12:00:00,1987.85,1990.0,1982.25,1984.0,327353
37,2021-04-27T12:15:00,1983.85,1985.35,1978.55,1980.45,232364
38,2021-04-27T12:30:00,1980.45,1983.85,1979.0,1982.75,164062
39,2021-04-27T12:45:00,1982.75,1984.0,1979.05,1979.55,125093
40,2021-04-27T13:00:00,1979.55,1983.2,1977.95,1981.5,193166
41,2021-04-27T13:15:00,1981.5,1983.5,1980.0,1980.9,119908
42,2021-04-27T13:30:00,1980.9,1982.8,1979.6,1980.0,115783
43,2021-04-27T13:45:00,1980.0,1984.55,1979.95,1982.0,190905
44,2021-04-27T14:00:00,1982.5,1984.9,1981.95,1984.0,228101
45,2021-04-27T14:15:00,1984.0,1989.5,1983.0,1989.45,344077
46,2021-04-27T14:30:00,1989.5,1997.0,1988.05,1994.0,575764
47,2021-04-27T14:45:00,1993.25,1994.0,1989.0,1989.5,411816
48,2021-04-27T15:00:00,1989.6,1991.0,1988.0,1990.1,538072
49,2021-04-27T15:15:00,1990.1,1990.1,1986.05,1990.0,742046
50,2021-04-27T15:30:00,1990.0,1990.0,1990.0,1990.0,80
51,2021-04-28T09:15:00,1994.05,2000.0,1989.4,1991.95,579982
52,2021-04-28T09:30:00,1991.75,1992.05,1980.7,1988.35,580472
53,2021-04-28T09:45:00,1988.5,1988.85,1985.15,1988.55,228814
54,2021-04-28T10:00:00,1988.2,2005.9,1988.2,1997.6,720943
55,2021-04-28T10:15:00,1997.65,1998.3,1991.0,1993.6,252816
56,2021-04-28T10:30:00,1993.95,1999.45,1993.0,1998.75,191071
57,2021-04-28T10:45:00,1998.75,2003.9,1997.0,2003.05,265702
58,2021-04-28T11:00:00,2003.4,2004.95,1997.75,1997.75,292987
59,2021-04-28T11:15:00,1998.45,2007.95,1998.1,2006.1,644827
60,2021-04-28T11:30:00,2006.5,2006.7,1998.55,1999.9,235556
61,2021-04-28T11:45:00,1999.9,2000.95,1996.4,2000.05,150375
62,2021-04-28T12:00:00,1999.0,2002.7,1992.3,2001.0,354153
63,2021-04-28T12:15:00,2000.85,2001.0,1996.0,1998.55,144340
64,2021-04-28T12:30:00,1998.3,2001.0,1998.1,2000.05,112122
65,2021-04-28T12:45:00,1999.75,2000.95,1999.0,1999.85,109833
66,2021-04-28T13:00:00,1999.85,2002.55,1999.15,2001.35,161763
67,2021-04-28T13:15:00,2001.35,2006.0,1999.1,2001.15,383835
68,2021-04-28T13:30:00,2001.15,2002.4,1999.75,1999.95,167157
69,2021-04-28T13:45:00,2000.05,2001.8,1995.2,2001.15,235293
70,2021-04-28T14:00:00,2001.15,2001.25,1997.2,1997.2,202122
71,2021-04-28T14:15:00,1997.2,2001.0,1996.7,1999.6,198137
72,2021-04-28T14:30:00,1999.6,1999.95,1996.0,1996.5,189857
73,2021-04-28T14:45:00,1996.5,2000.8,1994.35,2000.05,322002
74,2021-04-28T15:00:00,2000.0,2001.7,1990.5,1995.0,686705
75,2021-04-28T15:15:00,1995.0,1997.45,1991.8,1993.15,454479
76,2021-04-28T15:30:00,1993.15,1993.15,1993.15,1993.15,373
77,2021-04-29T09:15:00,2020.15,2043.65,2019.3,2024.6,1795388
78,2021-04-29T09:30:00,2024.2,2031.85,2023.8,2026.2,418446
79,2021-04-29T09:45:00,2026.65,2026.8,2014.05,2016.45,589555
80,2021-04-29T10:00:00,2016.9,2022.0,2009.1,2021.25,443693
81,2021-04-29T10:15:00,2021.25,2025.0,2018.9,2023.0,250100
82,2021-04-29T10:30:00,2023.1,2023.9,2014.1,2016.0,226563
83,2021-04-29T10:45:00,2015.65,2017.0,2007.65,2015.0,290326
84,2021-04-29T11:00:00,2016.0,2017.6,2011.65,2017.0,142910
85,2021-04-29T11:15:00,2016.85,2020.75,2014.25,2017.5,179267
86,2021-04-29T11:30:00,2017.0,2017.7,2013.0,2013.9,100416
87,2021-04-29T11:45:00,2014.4,2016.1,2010.1,2011.95,100976
88,2021-04-29T12:00:00,2011.3,2018.1,2010.9,2018.0,132485
89,2021-04-29T12:15:00,2018.0,2027.45,2017.05,2026.85,344714
90,2021-04-29T12:30:00,2026.9,2030.0,2024.0,2027.1,257324
91,2021-04-29T12:45:00,2027.9,2029.5,2024.45,2028.3,142642
92,2021-04-29T13:00:00,2028.25,2030.0,2022.8,2025.2,149853
93,2021-04-29T13:15:00,2025.15,2026.8,2022.0,2024.2,104997
94,2021-04-29T13:30:00,2024.5,2026.0,2022.7,2022.7,92122
95,2021-04-29T13:45:00,2022.7,2023.1,2017.25,2019.6,188023
96,2021-04-29T14:00:00,2020.25,2021.0,2018.2,2020.1,128508
97,2021-04-29T14:15:00,2020.45,2020.5,2016.5,2018.0,134211
98,2021-04-29T14:30:00,2018.7,2026.8,2016.0,2022.9,375962
99,2021-04-29T14:45:00,2022.5,2028.4,2021.45,2028.4,224519
100,2021-04-29T15:00:00,2028.3,2030.0,2023.05,2023.25,605266
101,2021-04-29T15:15:00,2023.65,2023.65,2017.45,2020.0,502626
102,2021-04-30T09:15:00,2009.25,2026.95,2003.15,2024.3,831534
103,2021-04-30T09:30:00,2024.85,2036.0,2023.25,2024.65,527577
104,2021-04-30T09:45:00,2025.05,2026.55,2017.5,2023.8,333406
105,2021-04-30T10:00:00,2023.95,2027.95,2017.8,2021.5,262840
106,2021-04-30T10:15:00,2021.95,2025.0,2020.0,2024.5,121934
107,2021-04-30T10:30:00,2024.5,2025.0,2019.5,2019.7,139181
108,2021-04-30T10:45:00,2019.75,2022.5,2018.25,2018.85,147283
109,2021-04-30T11:00:00,2018.9,2023.8,2018.15,2022.5,102869
110,2021-04-30T11:15:00,2022.55,2027.0,2022.5,2025.55,164464
111,2021-04-30T11:30:00,2025.55,2030.0,2023.55,2024.2,176064
112,2021-04-30T11:45:00,2024.05,2026.35,2022.5,2023.95,115331
113,2021-04-30T12:00:00,2023.95,2026.95,2023.05,2025.8,95270
114,2021-04-30T12:15:00,2025.8,2029.35,2025.5,2028.5,144417
115,2021-04-30T12:30:00,2028.5,2032.8,2028.15,2032.0,246283
116,2021-04-30T12:45:00,2032.0,2033.5,2025.3,2026.0,209761
117,2021-04-30T13:00:00,2025.65,2026.05,2012.1,2014.0,573675
118,2021-04-30T13:15:00,2013.5,2016.45,2011.0,2012.5,213375
119,2021-04-30T13:30:00,2012.25,2015.65,2007.7,2008.1,246433
120,2021-04-30T13:45:00,2009.0,2010.45,2003.25,2007.4,288251
121,2021-04-30T14:00:00,2006.8,2007.5,1993.0,1999.3,459007
122,2021-04-30T14:15:00,1999.5,2013.35,1996.65,2008.3,358651
123,2021-04-30T14:30:00,2008.45,2013.4,2005.15,2012.0,221263
124,2021-04-30T14:45:00,2012.05,2012.5,2002.2,2007.9,299661
125,2021-04-30T15:00:00,2007.9,2007.95,1989.0,1991.8,1236073
126,2021-04-30T15:15:00,1991.95,1998.0,1988.3,1994.3,1434870
127,2021-04-30T15:30:00,1995.9,1995.9,1995.9,1995.9,55
128,2021-05-03T09:15:00,1967.75,1978.5,1943.95,1976.0,2019340
129,2021-05-03T09:30:00,1976.7,1976.7,1950.55,1963.0,1023342
130,2021-05-03T09:45:00,1962.7,1963.0,1948.45,1951.85,652760
131,2021-05-03T10:00:00,1951.65,1959.0,1951.25,1958.7,283170
132,2021-05-03T10:15:00,1958.6,1961.25,1952.2,1956.75,210937
133,2021-05-03T10:30:00,1956.75,1962.0,1954.45,1960.25,186689
134,2021-05-03T10:45:00,1960.0,1963.0,1956.0,1956.4,168606
135,2021-05-03T11:00:00,1956.55,1956.7,1946.7,1947.5,415196
136,2021-05-03T11:15:00,1947.5,1954.8,1947.0,1953.2,231809
137,2021-05-03T11:30:00,1953.25,1953.25,1948.05,1949.25,238069
138,2021-05-03T11:45:00,1949.5,1951.0,1945.1,1949.9,214423
139,2021-05-03T12:00:00,1950.8,1951.9,1948.1,1950.9,195779
140,2021-05-03T12:15:00,1950.95,1952.95,1949.0,1950.75,134331
141,2021-05-03T12:30:00,1950.75,1952.0,1947.0,1949.85,201493
142,2021-05-03T12:45:00,1950.0,1957.1,1949.0,1956.5,463156
143,2021-05-03T13:00:00,1956.4,1961.0,1953.45,1959.65,406347
144,2021-05-03T13:15:00,1960.15,1960.8,1955.05,1955.35,242099
145,2021-05-03T13:30:00,1955.05,1960.55,1954.0,1960.05,213675
146,2021-05-03T13:45:00,1959.95,1965.8,1958.95,1964.2,361534
147,2021-05-03T14:00:00,1964.7,1965.95,1960.1,1963.05,215045
148,2021-05-03T14:15:00,1963.2,1966.9,1961.4,1966.0,267453
149,2021-05-03T14:30:00,1966.25,1970.85,1966.05,1970.05,522835
150,2021-05-03T14:45:00,1970.05,1971.0,1964.7,1965.1,515863
151,2021-05-03T15:00:00,1965.3,1965.9,1959.65,1962.95,478133
152,2021-05-03T15:15:00,1962.85,1963.05,1951.0,1955.9,884989
153,2021-05-03T15:30:00,1956.0,1956.0,1956.0,1956.0,239
154,2021-05-04T09:15:00,1953.95,1967.0,1939.25,1944.6,1418623
155,2021-05-04T09:30:00,1944.7,1947.1,1934.0,1934.25,789824
156,2021-05-04T09:45:00,1934.5,1939.6,1930.05,1939.2,595230
157,2021-05-04T10:00:00,1939.2,1942.65,1936.75,1941.1,445772
158,2021-05-04T10:15:00,1940.6,1941.9,1937.15,1941.75,258099
159,2021-05-04T10:30:00,1941.35,1947.0,1941.0,1945.2,398388
160,2021-05-04T10:45:00,1945.2,1949.15,1943.55,1944.9,358776
161,2021-05-04T11:00:00,1945.0,1950.3,1944.45,1946.15,337635
162,2021-05-04T11:15:00,1946.2,1948.0,1937.0,1938.55,356258
163,2021-05-04T11:30:00,1938.65,1943.15,1937.05,1942.7,209769
164,2021-05-04T11:45:00,1942.7,1946.0,1940.75,1941.55,210647
165,2021-05-04T12:00:00,1941.5,1941.9,1935.0,1937.6,323485
166,2021-05-04T12:15:00,1937.6,1938.0,1934.0,1936.45,164351
167,2021-05-04T12:30:00,1936.45,1936.55,1931.8,1936.2,293968
